As in never buying meat again	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	3
As in never buying meat again	I suspect this way of looking at it is still somewhat simplistic however	0	1
even as you know that doing so will not have any impact on the meat industry whatsoever	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	8
even as you know that doing so will not have any impact on the meat industry whatsoever	The options are as follows	0	7
even as you know that doing so will not have any impact on the meat industry whatsoever	1. You don't agree with what is going on and stop supporting it.	0	6
even as you know that doing so will not have any impact on the meat industry whatsoever	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	5
even as you know that doing so will not have any impact on the meat industry whatsoever	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	4
even as you know that doing so will not have any impact on the meat industry whatsoever	I suspect this way of looking at it is still somewhat simplistic however	0	2
won't make even an ounce of difference in the lives of animals?	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	9
won't make even an ounce of difference in the lives of animals?	The options are as follows	0	8
won't make even an ounce of difference in the lives of animals?	1. You don't agree with what is going on and stop supporting it.	0	7
won't make even an ounce of difference in the lives of animals?	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	6
won't make even an ounce of difference in the lives of animals?	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	5
won't make even an ounce of difference in the lives of animals?	I suspect this way of looking at it is still somewhat simplistic however	0	3
What's the point?	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	10
What's the point?	The options are as follows	0	9
What's the point?	1. You don't agree with what is going on and stop supporting it.	0	8
What's the point?	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	7
What's the point?	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	6
What's the point?	I suspect this way of looking at it is still somewhat simplistic however	0	4
If I stop eating meat today, it won't make any difference whatsoever and won't save even a single animal's life.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	11
If I stop eating meat today, it won't make any difference whatsoever and won't save even a single animal's life.	The options are as follows	1	10
If I stop eating meat today, it won't make any difference whatsoever and won't save even a single animal's life.	1. You don't agree with what is going on and stop supporting it.	0	9
If I stop eating meat today, it won't make any difference whatsoever and won't save even a single animal's life.	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	8
If I stop eating meat today, it won't make any difference whatsoever and won't save even a single animal's life.	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	7
If I stop eating meat today, it won't make any difference whatsoever and won't save even a single animal's life.	I suspect this way of looking at it is still somewhat simplistic however	0	5
The only way to make real change in industries like this is to organize and participate in a boycott on a wide-scale level	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	12
The only way to make real change in industries like this is to organize and participate in a boycott on a wide-scale level	The options are as follows	0	11
The only way to make real change in industries like this is to organize and participate in a boycott on a wide-scale level	1. You don't agree with what is going on and stop supporting it.	1	10
The only way to make real change in industries like this is to organize and participate in a boycott on a wide-scale level	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	9
The only way to make real change in industries like this is to organize and participate in a boycott on a wide-scale level	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	8
The only way to make real change in industries like this is to organize and participate in a boycott on a wide-scale level	I suspect this way of looking at it is still somewhat simplistic however	0	6
to petition the government to make regulation changes.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	13
to petition the government to make regulation changes.	The options are as follows	0	12
to petition the government to make regulation changes.	1. You don't agree with what is going on and stop supporting it.	1	11
to petition the government to make regulation changes.	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	10
to petition the government to make regulation changes.	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	9
to petition the government to make regulation changes.	I suspect this way of looking at it is still somewhat simplistic however	0	7
I wouldn't buy ivory, dog leather or fur for the same reasons	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	14
I wouldn't buy ivory, dog leather or fur for the same reasons	If I stop eating meat today, it won't make any difference whatsoever and won't save even a single animal's life.	0	3
I wouldn't buy ivory, dog leather or fur for the same reasons	The only way to make real change in industries like this is to organize and participate in a boycott on a wide-scale level	0	2
I wouldn't buy ivory, dog leather or fur for the same reasons	to petition the government to make regulation changes.	0	1
I find meat disgusting based on what I've seen and want no part of endorsing it whether it makes any difference overall or not.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	15
I find meat disgusting based on what I've seen and want no part of endorsing it whether it makes any difference overall or not.	If I stop eating meat today, it won't make any difference whatsoever and won't save even a single animal's life.	0	4
I find meat disgusting based on what I've seen and want no part of endorsing it whether it makes any difference overall or not.	The only way to make real change in industries like this is to organize and participate in a boycott on a wide-scale level	0	3
I find meat disgusting based on what I've seen and want no part of endorsing it whether it makes any difference overall or not.	to petition the government to make regulation changes.	0	2
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	This doesn't really matter if it is something that is necessary.	0	21
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	extra attention results in health benefits	0	24
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	we don't relate to them as much so they don't tug on our morals	0	28
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	Certainly, you can still be healthy with alternative diets.	0	29
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	you have to curate your diet much more if you do not include meat.	0	30
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	I'm not convinced that an equally curated diet including meat would not be healthier.	0	31
The options are as follows	I feel the same way about animals in medical research.	0	7
1. You don't agree with what is going on and stop supporting it.	I feel the same way about animals in medical research.	0	6
2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	I feel the same way about animals in medical research.	0	5
3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	I feel the same way about animals in medical research.	0	4
I used to follow 'option number 3', but recently started 'option number 1' in an attempt to line my actions up with my values.	I feel the same way about animals in medical research.	0	3
I suspect this way of looking at it is still somewhat simplistic however	I feel the same way about animals in medical research.	0	2
What about "I care about animals, but see it as a necessary evil for my sustenance."	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	7
What about "I care about animals, but see it as a necessary evil for my sustenance."	The options are as follows	0	6
What about "I care about animals, but see it as a necessary evil for my sustenance."	1. You don't agree with what is going on and stop supporting it.	0	5
What about "I care about animals, but see it as a necessary evil for my sustenance."	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	4
What about "I care about animals, but see it as a necessary evil for my sustenance."	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	3
What about "I care about animals, but see it as a necessary evil for my sustenance."	I suspect this way of looking at it is still somewhat simplistic however	0	1
What about "I care about animals, but see it as a necessary evil for my sustenance."	Slaughtering animals is not a necessary evil for your sustenance	0	4
What about "I care about animals, but see it as a necessary evil for my sustenance."	I don't know	0	5
I feel the same way about animals in medical research.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	8
I feel the same way about animals in medical research.	The options are as follows	1	7
I feel the same way about animals in medical research.	1. You don't agree with what is going on and stop supporting it.	0	6
I feel the same way about animals in medical research.	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	5
I feel the same way about animals in medical research.	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	4
I feel the same way about animals in medical research.	I suspect this way of looking at it is still somewhat simplistic however	0	2
I feel the same way about animals in medical research.	Slaughtering animals is not a necessary evil for your sustenance	0	3
I feel the same way about animals in medical research.	I don't know	0	4
I feel terrible for the animals	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	9
I feel terrible for the animals	The options are as follows	0	8
I feel terrible for the animals	1. You don't agree with what is going on and stop supporting it.	0	7
I feel terrible for the animals	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	6
I feel terrible for the animals	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	5
I feel terrible for the animals	I suspect this way of looking at it is still somewhat simplistic however	0	3
I feel terrible for the animals	Slaughtering animals is not a necessary evil for your sustenance	0	2
I feel terrible for the animals	I don't know	0	3
it's necessary for the health of humans and a better option than researching on humans	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	10
it's necessary for the health of humans and a better option than researching on humans	The options are as follows	0	9
it's necessary for the health of humans and a better option than researching on humans	1. You don't agree with what is going on and stop supporting it.	0	8
it's necessary for the health of humans and a better option than researching on humans	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	7
it's necessary for the health of humans and a better option than researching on humans	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	6
it's necessary for the health of humans and a better option than researching on humans	I suspect this way of looking at it is still somewhat simplistic however	0	4
it's necessary for the health of humans and a better option than researching on humans	Slaughtering animals is not a necessary evil for your sustenance	0	1
it's necessary for the health of humans and a better option than researching on humans	I don't know	0	2
Slaughtering animals is not a necessary evil for your sustenance	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	11
Slaughtering animals is not a necessary evil for your sustenance	I feel the same way about animals in medical research.	1	3
Slaughtering animals is not a necessary evil for your sustenance	There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	0	3
Slaughtering animals is not a necessary evil for your sustenance	We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	0	4
Slaughtering animals is not a necessary evil for your sustenance	I'm firmly convinced that meat is a requirement for my diet.	0	5
I don't know	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	12
I don't know	I feel the same way about animals in medical research.	1	4
I don't know	There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	0	2
I don't know	We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	0	3
I don't know	I'm firmly convinced that meat is a requirement for my diet.	0	4
I am an omnivore, and my diet consists of meat and plants.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	13
I am an omnivore, and my diet consists of meat and plants.	Slaughtering animals is not a necessary evil for your sustenance	0	2
I am an omnivore, and my diet consists of meat and plants.	I don't know	0	1
I am an omnivore, and my diet consists of meat and plants.	Meat is the industry that creates the most suffering for animals	0	4
I am an omnivore, and my diet consists of meat and plants.	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	7
There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	14
There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	Slaughtering animals is not a necessary evil for your sustenance	1	3
There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	I don't know	0	2
There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	Meat is the industry that creates the most suffering for animals	0	3
There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	6
We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	15
We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	Slaughtering animals is not a necessary evil for your sustenance	1	4
We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	I don't know	0	3
We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	Meat is the industry that creates the most suffering for animals	0	2
We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	5
I'm firmly convinced that meat is a requirement for my diet.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	16
I'm firmly convinced that meat is a requirement for my diet.	Slaughtering animals is not a necessary evil for your sustenance	1	5
I'm firmly convinced that meat is a requirement for my diet.	I don't know	0	4
I'm firmly convinced that meat is a requirement for my diet.	Meat is the industry that creates the most suffering for animals	0	1
I'm firmly convinced that meat is a requirement for my diet.	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	4
Meat is the industry that creates the most suffering for animals	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	17
Meat is the industry that creates the most suffering for animals	There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	1	3
Meat is the industry that creates the most suffering for animals	We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	0	2
Meat is the industry that creates the most suffering for animals	I'm firmly convinced that meat is a requirement for my diet.	0	1
Meat is the industry that creates the most suffering for animals	This doesn't really matter if it is something that is necessary.	0	4
Meat is the industry that creates the most suffering for animals	extra attention results in health benefits	0	7
Meat is the industry that creates the most suffering for animals	we don't relate to them as much so they don't tug on our morals	0	11
Meat is the industry that creates the most suffering for animals	Certainly, you can still be healthy with alternative diets.	0	12
Meat is the industry that creates the most suffering for animals	you have to curate your diet much more if you do not include meat.	0	13
Meat is the industry that creates the most suffering for animals	I'm not convinced that an equally curated diet including meat would not be healthier.	0	14
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	18
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	0	4
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	0	3
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	I'm firmly convinced that meat is a requirement for my diet.	0	2
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	This doesn't really matter if it is something that is necessary.	0	3
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	extra attention results in health benefits	0	6
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	we don't relate to them as much so they don't tug on our morals	0	10
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	Certainly, you can still be healthy with alternative diets.	0	11
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	you have to curate your diet much more if you do not include meat.	0	12
Being the one that requires the most land usage and causes the most environmental issues as well as obviously slaughtering them.	I'm not convinced that an equally curated diet including meat would not be healthier.	0	13
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	19
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	0	5
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	0	4
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	I'm firmly convinced that meat is a requirement for my diet.	0	3
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	This doesn't really matter if it is something that is necessary.	0	2
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	extra attention results in health benefits	0	5
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	we don't relate to them as much so they don't tug on our morals	0	9
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	Certainly, you can still be healthy with alternative diets.	0	10
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	you have to curate your diet much more if you do not include meat.	0	11
Vegans are also the group least likely to die of heart disease, with vegetarians being second and omnivores being first (or the same, depending on which study you're looking at)	I'm not convinced that an equally curated diet including meat would not be healthier.	0	12
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	20
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	There is not a good way to supply meat at an industrial scale that doesn't involve some measure of suffering for the animal.	0	6
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	We could trade information back and forth as to whether or not it's possible to be happy and healthy without meat	0	5
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	I'm firmly convinced that meat is a requirement for my diet.	1	4
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	This doesn't really matter if it is something that is necessary.	0	1
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	extra attention results in health benefits	0	4
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	we don't relate to them as much so they don't tug on our morals	0	8
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	Certainly, you can still be healthy with alternative diets.	0	9
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	you have to curate your diet much more if you do not include meat.	0	10
I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	I'm not convinced that an equally curated diet including meat would not be healthier.	0	11
This doesn't really matter if it is something that is necessary.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	21
This doesn't really matter if it is something that is necessary.	Meat is the industry that creates the most suffering for animals	1	4
This doesn't really matter if it is something that is necessary.	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	1
[This study](http://www.ncbi.nlm.nih.gov/pubmed/20479151) shows that unprocessed meat is not linked to heart disease, but processed meat is	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	22
[This study](http://www.ncbi.nlm.nih.gov/pubmed/20479151) shows that unprocessed meat is not linked to heart disease, but processed meat is	Meat is the industry that creates the most suffering for animals	0	5
[This study](http://www.ncbi.nlm.nih.gov/pubmed/20479151) shows that unprocessed meat is not linked to heart disease, but processed meat is	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	2
a vegan *has* to be more conscious about their diet	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	23
a vegan *has* to be more conscious about their diet	Meat is the industry that creates the most suffering for animals	0	6
a vegan *has* to be more conscious about their diet	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	3
extra attention results in health benefits	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	24
extra attention results in health benefits	Meat is the industry that creates the most suffering for animals	0	7
extra attention results in health benefits	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	4
Many people consider fish to be extremely healthy, and often include it in their "vegetarian" diets	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	25
Many people consider fish to be extremely healthy, and often include it in their "vegetarian" diets	Meat is the industry that creates the most suffering for animals	0	8
Many people consider fish to be extremely healthy, and often include it in their "vegetarian" diets	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	5
Eating fish has been associated with a *reduced* risk of heart disease.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	26
Eating fish has been associated with a *reduced* risk of heart disease.	Meat is the industry that creates the most suffering for animals	0	9
Eating fish has been associated with a *reduced* risk of heart disease.	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	6
Fish farms are equally as cruel as the rest of the meat industry	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	27
Fish farms are equally as cruel as the rest of the meat industry	Meat is the industry that creates the most suffering for animals	0	10
Fish farms are equally as cruel as the rest of the meat industry	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	7
we don't relate to them as much so they don't tug on our morals	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	28
we don't relate to them as much so they don't tug on our morals	Meat is the industry that creates the most suffering for animals	1	11
we don't relate to them as much so they don't tug on our morals	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	8
Certainly, you can still be healthy with alternative diets.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	29
Certainly, you can still be healthy with alternative diets.	Meat is the industry that creates the most suffering for animals	0	12
Certainly, you can still be healthy with alternative diets.	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	9
you have to curate your diet much more if you do not include meat.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	30
you have to curate your diet much more if you do not include meat.	Meat is the industry that creates the most suffering for animals	0	13
you have to curate your diet much more if you do not include meat.	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	10
I'm not convinced that an equally curated diet including meat would not be healthier.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	31
I'm not convinced that an equally curated diet including meat would not be healthier.	Meat is the industry that creates the most suffering for animals	0	14
I'm not convinced that an equally curated diet including meat would not be healthier.	I'm convinced it's a healthier diet, which is a nice bonus for being compassionate.	0	11
CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	The fact that the US uses a poor method of production is not an indictment of the meat industry as a whole.	0	24
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	7
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]	The options are as follows	0	6
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]	1. You don't agree with what is going on and stop supporting it.	1	5
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]	2. You don't care about animals, so you're content with paying for them to be abused for your pleasure.	0	4
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]	3. You don't agree with what is going on, but try to put it to the back of your mind and continue to support it.	0	3
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]	I suspect this way of looking at it is still somewhat simplistic however	0	1
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]	Ahh I've seen that article before and it's incredibly flawed.	0	1
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]	It boggles my mind it was even published in all honesty.	0	2
So what do you do when you discover [the suffering animals endure in the vegetarian food industry?]	not eating meat would be a great first step to reducing it	0	5
Ahh I've seen that article before and it's incredibly flawed.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	8
Ahh I've seen that article before and it's incredibly flawed.	Not all crops are created equal.	0	6
Ahh I've seen that article before and it's incredibly flawed.	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	8
Ahh I've seen that article before and it's incredibly flawed.	Why, it's almost like you only read the top two paragraphs.	0	9
It boggles my mind it was even published in all honesty.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	9
It boggles my mind it was even published in all honesty.	Not all crops are created equal.	0	5
It boggles my mind it was even published in all honesty.	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	7
It boggles my mind it was even published in all honesty.	Why, it's almost like you only read the top two paragraphs.	0	8
Livestock animals eat a hell of a lot more crops humans do right?	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	10
Livestock animals eat a hell of a lot more crops humans do right?	Not all crops are created equal.	0	4
Livestock animals eat a hell of a lot more crops humans do right?	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	6
Livestock animals eat a hell of a lot more crops humans do right?	Why, it's almost like you only read the top two paragraphs.	0	7
if you're really concerned with the damage done by the land use of growing food	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	11
if you're really concerned with the damage done by the land use of growing food	Not all crops are created equal.	0	3
if you're really concerned with the damage done by the land use of growing food	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	5
if you're really concerned with the damage done by the land use of growing food	Why, it's almost like you only read the top two paragraphs.	0	6
not eating meat would be a great first step to reducing it	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	12
not eating meat would be a great first step to reducing it	Not all crops are created equal.	0	2
not eating meat would be a great first step to reducing it	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	4
not eating meat would be a great first step to reducing it	Why, it's almost like you only read the top two paragraphs.	0	5
The land required to feed one vegan for a single year is 1/6th of an acre and the land required to feed one meat eater for a year is 18 times more than that.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	13
The land required to feed one vegan for a single year is 1/6th of an acre and the land required to feed one meat eater for a year is 18 times more than that.	Not all crops are created equal.	0	1
The land required to feed one vegan for a single year is 1/6th of an acre and the land required to feed one meat eater for a year is 18 times more than that.	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	3
The land required to feed one vegan for a single year is 1/6th of an acre and the land required to feed one meat eater for a year is 18 times more than that.	Why, it's almost like you only read the top two paragraphs.	0	4
Not all crops are created equal.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	14
Not all crops are created equal.	Ahh I've seen that article before and it's incredibly flawed.	0	6
Not all crops are created equal.	It boggles my mind it was even published in all honesty.	0	5
Not all crops are created equal.	not eating meat would be a great first step to reducing it	0	2
Not all crops are created equal.	I read it a month or so ago I'm actually referring to corn.	0	4
How much grass do you eat on an average day?	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	15
How much grass do you eat on an average day?	Ahh I've seen that article before and it's incredibly flawed.	0	7
How much grass do you eat on an average day?	It boggles my mind it was even published in all honesty.	0	6
How much grass do you eat on an average day?	not eating meat would be a great first step to reducing it	0	3
How much grass do you eat on an average day?	I read it a month or so ago I'm actually referring to corn.	0	3
No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	16
No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	Ahh I've seen that article before and it's incredibly flawed.	0	8
No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	It boggles my mind it was even published in all honesty.	0	7
No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	not eating meat would be a great first step to reducing it	0	4
No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	I read it a month or so ago I'm actually referring to corn.	0	2
Why, it's almost like you only read the top two paragraphs.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	17
Why, it's almost like you only read the top two paragraphs.	Ahh I've seen that article before and it's incredibly flawed.	1	9
Why, it's almost like you only read the top two paragraphs.	It boggles my mind it was even published in all honesty.	0	8
Why, it's almost like you only read the top two paragraphs.	not eating meat would be a great first step to reducing it	0	5
Why, it's almost like you only read the top two paragraphs.	I read it a month or so ago I'm actually referring to corn.	0	1
I read it a month or so ago I'm actually referring to corn.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	18
I read it a month or so ago I'm actually referring to corn.	Not all crops are created equal.	0	4
I read it a month or so ago I'm actually referring to corn.	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	2
I read it a month or so ago I'm actually referring to corn.	Why, it's almost like you only read the top two paragraphs.	1	1
I read it a month or so ago I'm actually referring to corn.	The fact that the US uses a poor method of production is not an indictment of the meat industry as a whole.	0	6
More corn is produced for livestock than humans.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	19
More corn is produced for livestock than humans.	Not all crops are created equal.	0	5
More corn is produced for livestock than humans.	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	3
More corn is produced for livestock than humans.	Why, it's almost like you only read the top two paragraphs.	0	2
More corn is produced for livestock than humans.	The fact that the US uses a poor method of production is not an indictment of the meat industry as a whole.	0	5
36% of all privately held acres in the US is used for growing corn just for livestock.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	20
36% of all privately held acres in the US is used for growing corn just for livestock.	Not all crops are created equal.	0	6
36% of all privately held acres in the US is used for growing corn just for livestock.	No mice are slowly poisoned to death growing grass, they are for the crops that humans eat.	0	4
36% of all privately held acres in the US is used for growing corn just for livestock.	Why, it's almost like you only read the top two paragraphs.	0	3
36% of all privately held acres in the US is used for growing corn just for livestock.	The fact that the US uses a poor method of production is not an indictment of the meat industry as a whole.	0	4
That's without even getting into the massive amounts of land used for soy and hay production for livestock.	CMV: I believe you have three choices once you discover the suffering animals endure in the meat industry...	0	21
That's without even getting into the massive amounts of land used for soy and hay production for livestock.	Not all crops are created equal.	0	7
